1 -5.65041 0.00170779
0.98 -5.65045 0.00167055
0.96 -5.65023 0.0016037
0.94 -5.64991 0.00172453
0.92 -5.64887 0.00152664
0.9 -5.64861 0.00170459
0.88 -5.64846 0.00164516
0.86 -5.64765 0.00172242
0.84 -5.64723 0.00163895
0.82 -5.64641 0.00165783
0.8 -5.6462 0.00147859
0.78 -5.64552 0.00186771
0.76 -5.64458 0.00179813
0.74 -5.64411 0.00163122
0.72 -5.64363 0.00177069
0.7 -5.64297 0.00180721
0.68 -5.64206 0.00193972
0.66 -5.64138 0.00187908
0.64 -5.64066 0.00174283
0.62 -5.64003 0.00172846
0.6 -5.63956 0.00173321
0.58 -5.63867 0.00197977
0.56 -5.63767 0.00210774
0.54 -5.63716 0.00204251
0.52 -5.63625 0.00185385
0.5 -5.63525 0.00196656
0.48 -5.63401 0.00231665
0.46 -5.6337 0.00204413
0.44 -5.6326 0.00224446
0.42 -5.63129 0.00251317
0.4 -5.6307 0.00260668
0.38 -5.6299 0.0024473
0.36 -5.62834 0.00254131
0.34 -5.62691 0.00289601
0.32 -5.62588 0.00241187
0.3 -5.62499 0.00244133
0.28 -5.6231 0.00311598
0.26 -5.62233 0.0025782
0.24 -5.62027 0.00269162
0.22 -5.61863 0.00271024
0.2 -5.6168 0.0030059
0.18 -5.61492 0.00345737
0.16 -5.61469 0.00307102
0.14 -5.61059 0.00322968
0.12 -5.6087 0.00336565
0.1 -5.60743 0.00311534
0.08 -5.60304 0.00417538
0.07 -5.60235 0.00361002
0.06 -5.59973 0.00410022
0.05 -5.59629 0.00457361
0.04 -5.59625 0.00516702
0.03 -5.59445 0.00574227
0.025 -5.58649 0.00701054
0.02 -5.58821 0.00615929
0.015 -5.58661 0.00699053
0.01 -5.58357 0.00713466
0.005 -5.58206 0.00755729
0.002 -5.57251 0.0115484
0 -5.56641 0.0132424
